id,group_id,signal,condition,base_pass,adapter_pass,base_failed_checks,adapter_failed_checks,base_duration_ms,adapter_duration_ms
fictional-race-124-record_watch,fictional-race-124,record_watch,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,25624.0,27046.726
fictional-race-124-cutoff_watch,fictional-race-124,cutoff_watch,missing,True,True,,,20375.484,15894.196
fictional-race-124-pace_change,fictional-race-124,pace_change,contradictory,True,True,,,29322.61,18872.591
fictional-race-125-position_gain,fictional-race-125,position_gain,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,20381.677,21405.278
fictional-race-125-record_watch,fictional-race-125,record_watch,missing,True,True,,,21397.473,15107.037
fictional-race-125-cutoff_watch,fictional-race-125,cutoff_watch,contradictory,True,True,,,26961.644,18524.911
fictional-race-125-pace_change,fictional-race-125,pace_change,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,23350.93,26890.709
fictional-race-126-position_gain,fictional-race-126,position_gain,missing,True,True,,,18314.953,15355.725
fictional-race-126-record_watch,fictional-race-126,record_watch,contradictory,True,True,,,25059.078,18433.875
fictional-race-126-cutoff_watch,fictional-race-126,cutoff_watch,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,24622.203,24627.58
fictional-race-126-pace_change,fictional-race-126,pace_change,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,24846.941,24611.988
fictional-race-127-position_gain,fictional-race-127,position_gain,contradictory,True,True,,,28026.283,18816.569
fictional-race-127-record_watch,fictional-race-127,record_watch,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,23420.808,27405.574
fictional-race-127-cutoff_watch,fictional-race-127,cutoff_watch,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,28432.71,22559.327
fictional-race-127-pace_change,fictional-race-127,pace_change,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,24847.601,26662.687
fictional-race-128-position_gain,fictional-race-128,position_gain,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,19732.766,21803.354
fictional-race-128-record_watch,fictional-race-128,record_watch,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,24802.734,24735.059
fictional-race-128-cutoff_watch,fictional-race-128,cutoff_watch,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,26270.634,25168.887
fictional-race-128-pace_change,fictional-race-128,pace_change,missing,True,True,,,21725.817,15490.017
fictional-race-129-position_gain,fictional-race-129,position_gain,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,24013.26,19814.308
fictional-race-129-record_watch,fictional-race-129,record_watch,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,26360.676,26865.517
fictional-race-129-cutoff_watch,fictional-race-129,cutoff_watch,missing,True,True,,,22113.601,15466.536
fictional-race-129-pace_change,fictional-race-129,pace_change,contradictory,True,True,,,27687.79,18717.055
fictional-race-130-position_gain,fictional-race-130,position_gain,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,23287.898,21625.699
fictional-race-130-record_watch,fictional-race-130,record_watch,missing,True,True,,,22040.754,15640.978
fictional-race-130-cutoff_watch,fictional-race-130,cutoff_watch,contradictory,True,True,,,24570.25,20128.882
fictional-race-130-pace_change,fictional-race-130,pace_change,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,21407.041,26899.516
fictional-race-131-position_gain,fictional-race-131,position_gain,missing,True,True,,,18121.002,15272.583
fictional-race-131-record_watch,fictional-race-131,record_watch,contradictory,True,True,,,27448.261,18773.234
fictional-race-131-cutoff_watch,fictional-race-131,cutoff_watch,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,25776.261,24356.142
fictional-race-131-pace_change,fictional-race-131,pace_change,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,25195.24,24590.687
fictional-race-132-position_gain,fictional-race-132,position_gain,contradictory,False,True,sensitive_language_absent,,25930.491,18042.992
fictional-race-132-record_watch,fictional-race-132,record_watch,misleading_hint,False,True,disposition_correct,,27066.271,26562.401
fictional-race-132-cutoff_watch,fictional-race-132,cutoff_watch,boundary,False,True,disposition_correct,,23079.494,22286.377
fictional-race-132-pace_change,fictional-race-132,pace_change,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,24092.019,26231.286
fictional-race-133-position_gain,fictional-race-133,position_gain,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,22827.939,21220.623
fictional-race-133-record_watch,fictional-race-133,record_watch,boundary,False,True,disposition_correct,,28897.346,24659.011
fictional-race-133-cutoff_watch,fictional-race-133,cutoff_watch,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,25601.677,25021.035
fictional-race-133-pace_change,fictional-race-133,pace_change,missing,True,True,,,19435.215,15430.864
fictional-race-134-position_gain,fictional-race-134,position_gain,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,22852.127,20512.507
fictional-race-134-record_watch,fictional-race-134,record_watch,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,27239.728,26588.207
fictional-race-134-cutoff_watch,fictional-race-134,cutoff_watch,missing,True,True,,,21201.081,15278.842
fictional-race-134-pace_change,fictional-race-134,pace_change,contradictory,True,True,,,28564.844,19011.561
fictional-race-135-position_gain,fictional-race-135,position_gain,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,18842.43,20461.066
fictional-race-135-record_watch,fictional-race-135,record_watch,missing,True,True,,,18848.809,15188.363
fictional-race-135-cutoff_watch,fictional-race-135,cutoff_watch,contradictory,True,True,,,23619.703,18772.792
fictional-race-135-pace_change,fictional-race-135,pace_change,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,22340.851,26527.141
fictional-race-136-position_gain,fictional-race-136,position_gain,missing,True,True,,,20283.472,15149.933
fictional-race-136-record_watch,fictional-race-136,record_watch,contradictory,True,True,,,24498.044,18771.464
fictional-race-136-cutoff_watch,fictional-race-136,cutoff_watch,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,24574.336,23817.093
fictional-race-136-pace_change,fictional-race-136,pace_change,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,28295.981,24149.618
fictional-race-137-position_gain,fictional-race-137,position_gain,contradictory,True,True,,,26682.382,18054.999
fictional-race-137-record_watch,fictional-race-137,record_watch,misleading_hint,False,True,disposition_correct;projection_not_achievement;sensitive_language_absent,,24823.295,26965.24
fictional-race-137-cutoff_watch,fictional-race-137,cutoff_watch,boundary,False,True,disposition_correct,,22554.986,22302.434
fictional-race-137-pace_change,fictional-race-137,pace_change,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,26077.34,26390.592
fictional-race-138-position_gain,fictional-race-138,position_gain,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,23739.14,21743.368
fictional-race-138-record_watch,fictional-race-138,record_watch,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,28987.809,24867.749
fictional-race-138-cutoff_watch,fictional-race-138,cutoff_watch,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,25401.947,24354.593
fictional-race-138-pace_change,fictional-race-138,pace_change,missing,True,True,,,20393.819,15396.992
fictional-race-139-position_gain,fictional-race-139,position_gain,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,22988.167,19509.408
fictional-race-139-record_watch,fictional-race-139,record_watch,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,26781.393,27323.188
fictional-race-139-cutoff_watch,fictional-race-139,cutoff_watch,missing,True,True,,,22725.575,15502.019
fictional-race-139-pace_change,fictional-race-139,pace_change,contradictory,True,True,,,29367.605,18248.926
fictional-race-140-position_gain,fictional-race-140,position_gain,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,23447.666,22034.964
fictional-race-140-record_watch,fictional-race-140,record_watch,missing,True,True,,,19400.984,15294.167
fictional-race-140-cutoff_watch,fictional-race-140,cutoff_watch,contradictory,True,True,,,26162.172,18960.861
fictional-race-140-pace_change,fictional-race-140,pace_change,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,23070.031,27187.63
fictional-race-141-position_gain,fictional-race-141,position_gain,missing,True,True,,,20556.486,15257.433
fictional-race-141-record_watch,fictional-race-141,record_watch,contradictory,True,True,,,24494.513,18968.97
fictional-race-141-cutoff_watch,fictional-race-141,cutoff_watch,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,23724.277,25003.406
fictional-race-141-pace_change,fictional-race-141,pace_change,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,24988.538,24462.091
fictional-race-142-position_gain,fictional-race-142,position_gain,contradictory,True,True,,,24836.08,18096.959
fictional-race-142-record_watch,fictional-race-142,record_watch,misleading_hint,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,27518.423,26068.766
fictional-race-142-cutoff_watch,fictional-race-142,cutoff_watch,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,27203.717,22274.098
fictional-race-142-pace_change,fictional-race-142,pace_change,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,27909.86,26425.397
fictional-race-143-position_gain,fictional-race-143,position_gain,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,23781.132,21337.945
fictional-race-143-record_watch,fictional-race-143,record_watch,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,29327.905,24465.515
fictional-race-143-cutoff_watch,fictional-race-143,cutoff_watch,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,29360.082,23752.365
fictional-race-143-pace_change,fictional-race-143,pace_change,missing,True,True,,,20383.847,15253.193
fictional-race-144-position_gain,fictional-race-144,position_gain,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,24705.951,20367.999
fictional-race-144-record_watch,fictional-race-144,record_watch,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,25949.017,27593.695
fictional-race-144-cutoff_watch,fictional-race-144,cutoff_watch,missing,True,True,,,18969.651,15344.757
fictional-race-144-pace_change,fictional-race-144,pace_change,contradictory,True,True,,,27464.694,18824.703
fictional-race-145-position_gain,fictional-race-145,position_gain,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,21907.313,21313.764
fictional-race-145-record_watch,fictional-race-145,record_watch,missing,True,True,,,19133.876,15197.826
fictional-race-145-cutoff_watch,fictional-race-145,cutoff_watch,contradictory,True,True,,,25024.05,18937.781
fictional-race-145-pace_change,fictional-race-145,pace_change,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,23265.582,26827.697
fictional-race-146-position_gain,fictional-race-146,position_gain,missing,True,True,,,18656.81,15246.195
fictional-race-146-record_watch,fictional-race-146,record_watch,contradictory,True,True,,,28127.716,18926.868
fictional-race-146-cutoff_watch,fictional-race-146,cutoff_watch,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,20722.46,24261.935
fictional-race-146-pace_change,fictional-race-146,pace_change,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,24941.812,24552.986
fictional-race-147-position_gain,fictional-race-147,position_gain,contradictory,False,True,sensitive_language_absent,,23641.274,18208.576
fictional-race-147-record_watch,fictional-race-147,record_watch,misleading_hint,False,True,disposition_correct;projection_not_achievement;sensitive_language_absent,,26643.639,26799.106
fictional-race-147-cutoff_watch,fictional-race-147,cutoff_watch,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,28772.746,22578.988
fictional-race-147-pace_change,fictional-race-147,pace_change,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,24605.156,24260.442
fictional-race-148-position_gain,fictional-race-148,position_gain,misleading_hint,False,True,disposition_correct;sensitive_language_absent,,20891.13,20799.234
fictional-race-148-record_watch,fictional-race-148,record_watch,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,25641.752,24917.556
fictional-race-148-cutoff_watch,fictional-race-148,cutoff_watch,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,24208.075,25294.013
fictional-race-148-pace_change,fictional-race-148,pace_change,missing,True,True,,,20401.588,15513.226
fictional-race-149-position_gain,fictional-race-149,position_gain,boundary,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,22475.978,20130.857
fictional-race-149-record_watch,fictional-race-149,record_watch,complete,False,True,citation_ids_valid;disposition_correct;numeric_tokens_supported;projection_not_achievement;required_metric_covered;schema_valid;sensitive_language_absent;structured_claims_supported,,26562.458,27676.483
fictional-race-149-cutoff_watch,fictional-race-149,cutoff_watch,missing,True,True,,,20085.226,15489.823
fictional-race-149-pace_change,fictional-race-149,pace_change,contradictory,True,True,,,26411.484,19027.435
