id,group_id,split,signal,condition,disposition,tokens,evidence_items,structured_facts,human_approved,prompt_version,content_sha256
fictional-race-002-pace_change,fictional-race-002,train,pace_change,complete,draft,577,1,1,False,evidence-editor-v2,9601615a887440d4c640cf6083748e119f112604cffbb0be68ad09fef2b4b4a8
fictional-race-003-position_gain,fictional-race-003,train,position_gain,misleading_hint,draft,542,1,1,False,evidence-editor-v2,d373b1ac0de2aaaabb171604d486d0677e882f9e838ff0266fb4f7fae35888b4
fictional-race-003-record_watch,fictional-race-003,train,record_watch,boundary,draft,554,1,1,False,evidence-editor-v2,9e15b9e9412408e55e4c16419f4c1ec92ba42b4708880b7e014c567b0e326eb1
fictional-race-003-cutoff_watch,fictional-race-003,train,cutoff_watch,complete,draft,561,1,1,False,evidence-editor-v2,65a54963f5b155eec444848f2b64ccd5bbd34d6457ae325b920371d44c834c2b
fictional-race-003-pace_change,fictional-race-003,train,pace_change,missing,insufficient_evidence,480,1,0,False,evidence-editor-v2,51378e0d276747882750c11e59bf2a0c6d186f5e805af18613b348267f010fb0
fictional-race-004-position_gain,fictional-race-004,train,position_gain,boundary,draft,532,1,1,False,evidence-editor-v2,95822b59e8b428ecbf813b391a824b752b56641d070823a3660fec278cae2d06
fictional-race-004-record_watch,fictional-race-004,train,record_watch,complete,draft,573,1,1,False,evidence-editor-v2,bcaf65ef32f5ca0e073c2ce3d196b4d871ed62d44baeb461ed920b61d72def4a
fictional-race-004-cutoff_watch,fictional-race-004,train,cutoff_watch,missing,insufficient_evidence,485,1,0,False,evidence-editor-v2,a329bdf566f3a73e52baa5dfcb09f3027bf8716121c0754011517f11baa61eff
fictional-race-004-pace_change,fictional-race-004,train,pace_change,contradictory,insufficient_evidence,616,2,2,False,evidence-editor-v2,f8ecdfc8b82bd5664ec0ef9facde63df629ebd54898fd3b6e98e95379916e6e9
fictional-race-005-position_gain,fictional-race-005,train,position_gain,complete,draft,537,1,1,False,evidence-editor-v2,c53f061f7c8f7dd7e6ef4d6f18b497593e18f3feb1bd13123d68be3d8786639a
fictional-race-005-record_watch,fictional-race-005,train,record_watch,missing,insufficient_evidence,482,1,0,False,evidence-editor-v2,3cf851de2d7bd40b8a9df1d54b1a561b7da2e7ab117d486ea8869206997ce2aa
fictional-race-005-cutoff_watch,fictional-race-005,train,cutoff_watch,contradictory,insufficient_evidence,605,2,2,False,evidence-editor-v2,c8bd6a65fd875c5dc1b1a30bc31c511f06fcd630e9ee631d27ead4fb0cff5273
fictional-race-005-pace_change,fictional-race-005,train,pace_change,misleading_hint,draft,583,1,1,False,evidence-editor-v2,3839486d4ceafd68028a85c05677c39581b217e47d2c52a8c64c783501c7a473
fictional-race-006-position_gain,fictional-race-006,train,position_gain,missing,insufficient_evidence,480,1,0,False,evidence-editor-v2,f4e619adc114102debacbec67b44dcbbb5ae28b1ff311927fe712089ad997d3b
fictional-race-006-record_watch,fictional-race-006,train,record_watch,contradictory,insufficient_evidence,598,2,2,False,evidence-editor-v2,dc85f258f244249c121f384f627942b2312966d2a27a68884eeffc7e3d903408
fictional-race-006-cutoff_watch,fictional-race-006,train,cutoff_watch,misleading_hint,draft,565,1,1,False,evidence-editor-v2,ba2ba8c055c22c77c1db47805d4963e278f793d945fec9866137846987f61199
fictional-race-006-pace_change,fictional-race-006,train,pace_change,boundary,draft,563,1,1,False,evidence-editor-v2,1dbbee8dfc822c285703d393b4b9b53cfa951d6f10394621bcddf1cb4ff9b352
fictional-race-007-position_gain,fictional-race-007,train,position_gain,contradictory,insufficient_evidence,591,2,2,False,evidence-editor-v2,2c8b24de0708c78274b8f4a958fac0374ec825154b265fc7c07e361cae472e27
fictional-race-007-record_watch,fictional-race-007,train,record_watch,misleading_hint,draft,578,1,1,False,evidence-editor-v2,2da359310ef2ac5e254d136ee1db4d27affd1324b92f3ded81baed9a92505901
fictional-race-007-cutoff_watch,fictional-race-007,train,cutoff_watch,boundary,draft,548,1,1,False,evidence-editor-v2,ebeb14b2fa7f19c6630d0acecf52d6d0a276b2b3b51f3ca64fce4a1f8bf74938
fictional-race-007-pace_change,fictional-race-007,train,pace_change,complete,draft,578,1,1,False,evidence-editor-v2,1d6b6d5c58ae408c3d9e4f5461ba2b0117dc865858832fa8c479e7f01e926ce8
fictional-race-008-position_gain,fictional-race-008,train,position_gain,misleading_hint,draft,552,1,1,False,evidence-editor-v2,23455e3d5b0249fb9ba3d2ab5bb0031ae0e215eae82e0cd319e69c31c229f28e
fictional-race-008-record_watch,fictional-race-008,train,record_watch,boundary,draft,562,1,1,False,evidence-editor-v2,6a48398a4d745eb7475f932a78e6ccec459db2e22328d0c76d72abe15fbc72c4
fictional-race-008-cutoff_watch,fictional-race-008,train,cutoff_watch,complete,draft,569,1,1,False,evidence-editor-v2,a50f63d447976db6cf76882b0ed2ae5529e130f786fddf7e0980c37f0ac37b52
fictional-race-008-pace_change,fictional-race-008,train,pace_change,missing,insufficient_evidence,486,1,0,False,evidence-editor-v2,03e60a2277fb08a50bfae10bb5f2fe3dbc6273218a2ac4f6f54fd32ea3ca11b9
fictional-race-009-position_gain,fictional-race-009,train,position_gain,boundary,draft,530,1,1,False,evidence-editor-v2,2d564d037f264fb343676926515d6f718c608bbbbbb3d63f402ee789e2affbdc
fictional-race-009-record_watch,fictional-race-009,train,record_watch,complete,draft,571,1,1,False,evidence-editor-v2,2aefb1c1dd1b4847fce9f1c662c668a7d835d91eca7a5bfad30598ffb6d0ad33
fictional-race-009-cutoff_watch,fictional-race-009,train,cutoff_watch,missing,insufficient_evidence,483,1,0,False,evidence-editor-v2,99f0d06e3038f6a38796c1a6b147b32ef2e3654725748a629854ab8dae344b0c
fictional-race-009-pace_change,fictional-race-009,train,pace_change,contradictory,insufficient_evidence,612,2,2,False,evidence-editor-v2,c57840d0e8375115c5392de5b1ecd5605f81f52bf89a996eca20ebb3a338235b
fictional-race-010-position_gain,fictional-race-010,train,position_gain,complete,draft,540,1,1,False,evidence-editor-v2,8d3ecf3a1a89fbe9ccee3df94f085af770c0bf7d4f3918746123c093afbf81c6
fictional-race-010-record_watch,fictional-race-010,train,record_watch,missing,insufficient_evidence,484,1,0,False,evidence-editor-v2,747cfd3773d25ec1f6d4287d0a4afe8dc8eda27b8bee838d29ce6e27ae50a186
fictional-race-010-cutoff_watch,fictional-race-010,train,cutoff_watch,contradictory,insufficient_evidence,609,2,2,False,evidence-editor-v2,fb25e3d8fb75ae0688759b5afe949a4edc44009c80f54cef114494472e3a06be
fictional-race-010-pace_change,fictional-race-010,train,pace_change,misleading_hint,draft,586,1,1,False,evidence-editor-v2,2880e4e4a99fbb8c840e89ad7531a73a3e13a752642feb465ec52561fe6f0c30
fictional-race-011-position_gain,fictional-race-011,train,position_gain,missing,insufficient_evidence,484,1,0,False,evidence-editor-v2,7596bc0a18328f6890a3ed41776a087995927b8ccf60e28123f73e604a9f3bb5
fictional-race-011-record_watch,fictional-race-011,train,record_watch,contradictory,insufficient_evidence,606,2,2,False,evidence-editor-v2,cea0615b7326c4e1feaa1e4666fafc825e9e97539700ca47b0570376611e232e
fictional-race-011-cutoff_watch,fictional-race-011,train,cutoff_watch,misleading_hint,draft,571,1,1,False,evidence-editor-v2,4d9c2cba365d27587766cf015e341c7a47b69baed131d7ac6b723f143ce2bff8
fictional-race-011-pace_change,fictional-race-011,train,pace_change,boundary,draft,567,1,1,False,evidence-editor-v2,20a05d8968b659a2791325cb51206549cebc2facb5f6af30933fb139fa1e92a5
fictional-race-012-position_gain,fictional-race-012,train,position_gain,contradictory,insufficient_evidence,586,2,2,False,evidence-editor-v2,1b71d0e2a66505d54682372250e68d5009d3ad3f600df7f066817109dfd8f4c3
fictional-race-012-record_watch,fictional-race-012,train,record_watch,misleading_hint,draft,571,1,1,False,evidence-editor-v2,9eb3c960b9b6cb1daf3b8cd8a544a4eccf2f84adf622a55b218a7e20de2e9906
fictional-race-012-cutoff_watch,fictional-race-012,train,cutoff_watch,boundary,draft,543,1,1,False,evidence-editor-v2,97fd5160d1941d4fb3f2b8f86f0be081039b1b653d0ec46d8693e6d4ac95922a
fictional-race-012-pace_change,fictional-race-012,train,pace_change,complete,draft,573,1,1,False,evidence-editor-v2,e843af9d231e9681797a0b7bd626c4cdb146e1980d0c095f752147cfffd7652d
fictional-race-013-position_gain,fictional-race-013,train,position_gain,misleading_hint,draft,548,1,1,False,evidence-editor-v2,6c476ffa86f77dcba897bec88a7c7201e8a12e5111d389a4598442b947385e79
fictional-race-013-record_watch,fictional-race-013,train,record_watch,boundary,draft,558,1,1,False,evidence-editor-v2,d6e9cc3eb8f988502415825bbe29628dc286e38efdf9527561d3094e04fa2ade
fictional-race-013-cutoff_watch,fictional-race-013,train,cutoff_watch,complete,draft,565,1,1,False,evidence-editor-v2,e0fc869585dd8713cc696830066f43dd93813327bb99bda03c08148add932e48
fictional-race-013-pace_change,fictional-race-013,train,pace_change,missing,insufficient_evidence,484,1,0,False,evidence-editor-v2,0a6946ec9975cb97026a5d36a991a4834022ad8d87ba1b81168fbdef0eacdc5c
fictional-race-014-position_gain,fictional-race-014,train,position_gain,boundary,draft,532,1,1,False,evidence-editor-v2,05fd3ca80778be04131debfda214e50a51f7091d44a564c512a37d99c90a842a
fictional-race-014-record_watch,fictional-race-014,train,record_watch,complete,draft,570,1,1,False,evidence-editor-v2,38ef88e407314829b185fb4910c95d186813cd44f917f3c8393df6be471c1ff7
fictional-race-014-cutoff_watch,fictional-race-014,train,cutoff_watch,missing,insufficient_evidence,485,1,0,False,evidence-editor-v2,663e064c944dea1cb19ead0e63a194b4fade2b2c302c38e626cf0ec769184afd
fictional-race-014-pace_change,fictional-race-014,train,pace_change,contradictory,insufficient_evidence,616,2,2,False,evidence-editor-v2,f0e0e757f8a702a5b7a8049230a4d991e4ef7a4b777a6f5c106bcacff31c6cb2
fictional-race-015-position_gain,fictional-race-015,train,position_gain,complete,draft,531,1,1,False,evidence-editor-v2,92ec8bcab6745d63d47a038a36de458f517dfe6a99fb9672eaefd2874508f6b4
fictional-race-015-record_watch,fictional-race-015,train,record_watch,missing,insufficient_evidence,476,1,0,False,evidence-editor-v2,5446683854f7376ea6d21efa65b4e494dc053b2322ef8139746d96f37d7cf9f6
fictional-race-015-cutoff_watch,fictional-race-015,train,cutoff_watch,contradictory,insufficient_evidence,599,2,2,False,evidence-editor-v2,e94ca67fc28005506726e8cf27ee6ccf53307d9404a6b470484da1e8c66b5ff0
fictional-race-015-pace_change,fictional-race-015,train,pace_change,misleading_hint,draft,581,1,1,False,evidence-editor-v2,e999c955eb78f90188142c1190045d3136a4d8e807805c6a90ca26906abf56b2
fictional-race-016-position_gain,fictional-race-016,train,position_gain,missing,insufficient_evidence,482,1,0,False,evidence-editor-v2,dca74547d4b0734fda2517896f5711421f2a6d55aeddcd46c15e45cc1f714e18
fictional-race-016-record_watch,fictional-race-016,train,record_watch,contradictory,insufficient_evidence,604,2,2,False,evidence-editor-v2,7d8fb661de963368208de4189da20ba0fc11ec812aed21d56899fe6f7f55c148
fictional-race-016-cutoff_watch,fictional-race-016,train,cutoff_watch,misleading_hint,draft,569,1,1,False,evidence-editor-v2,32030a43a2b23e6f4db35ea9ef768ad6cca29f71b82f0c59dc125a5fea899e84
fictional-race-016-pace_change,fictional-race-016,train,pace_change,boundary,draft,565,1,1,False,evidence-editor-v2,6a98b08892ca828faf895343619d4e0633de94f0ceaf34035d15206e153e9eba
fictional-race-017-position_gain,fictional-race-017,train,position_gain,contradictory,insufficient_evidence,596,2,2,False,evidence-editor-v2,761064708d43c13429eb0c250d672665c717eacc83da524871d46fb55c35dac0
fictional-race-017-record_watch,fictional-race-017,train,record_watch,misleading_hint,draft,582,1,1,False,evidence-editor-v2,c2daf1c98915b6195b0444365ff1f6ef159a5eca473435c467c66ad91b2b402b
fictional-race-017-cutoff_watch,fictional-race-017,train,cutoff_watch,boundary,draft,549,1,1,False,evidence-editor-v2,b41dd8bb1cfb6e3332ee795e70e563250b7804ec698de5d56df6f12b4eb5051f
fictional-race-017-pace_change,fictional-race-017,train,pace_change,complete,draft,579,1,1,False,evidence-editor-v2,fe147b6e7f86dab281b67ee23ab17955de81c8a956b02ec6f6f7a428452f62a2
fictional-race-018-position_gain,fictional-race-018,train,position_gain,misleading_hint,draft,546,1,1,False,evidence-editor-v2,a17e7b3858353ff4a99e446eef37b3c932ecf9ab1b594de45a67f120c3e99155
fictional-race-018-record_watch,fictional-race-018,train,record_watch,boundary,draft,558,1,1,False,evidence-editor-v2,ee819f02dee542403a3898399a3d55bfe06e2c7fd741930f4283560c678ba92b
fictional-race-018-cutoff_watch,fictional-race-018,train,cutoff_watch,complete,draft,565,1,1,False,evidence-editor-v2,0bd46a1b3700731664292a8730a46b0806fad66b7bab4be3c31c627aed203ff2
fictional-race-018-pace_change,fictional-race-018,train,pace_change,missing,insufficient_evidence,482,1,0,False,evidence-editor-v2,10b90ff39ac97612035c3fca00ae1eb71a7bbe7426f4ee3f7b5c76ef526271be
fictional-race-019-position_gain,fictional-race-019,train,position_gain,boundary,draft,534,1,1,False,evidence-editor-v2,b6fc2afeeb9b3412d8c01c42782a5f9dc2564120ab486085f8dba87190b6748e
fictional-race-019-record_watch,fictional-race-019,train,record_watch,complete,draft,581,1,1,False,evidence-editor-v2,dff5b4476512b200c784619ccee7f70e1131b343c5842bba89682d45ea4000e1
fictional-race-019-cutoff_watch,fictional-race-019,train,cutoff_watch,missing,insufficient_evidence,487,1,0,False,evidence-editor-v2,aa46584f1cb9a567d6faf92df6e1c66818c1a514ea68d49f275c925f79fa85bf
fictional-race-019-pace_change,fictional-race-019,train,pace_change,contradictory,insufficient_evidence,616,2,2,False,evidence-editor-v2,e0812e1f7b52aba1b1bdb29cb953fa1eca7c15424ceb023d979c4734e3b29bb6
fictional-race-020-position_gain,fictional-race-020,train,position_gain,complete,draft,544,1,1,False,evidence-editor-v2,cd954d0cedd46ca7d4b845c469d55c2cec04c76fc24c572f93469a2a001ab7f4
fictional-race-020-record_watch,fictional-race-020,train,record_watch,missing,insufficient_evidence,482,1,0,False,evidence-editor-v2,aab37e6313f190892a07f6de5c3fb08e8777af5d9999019307551077f010dea3
fictional-race-020-cutoff_watch,fictional-race-020,train,cutoff_watch,contradictory,insufficient_evidence,607,2,2,False,evidence-editor-v2,94e2df76b6a9094a07f75582cc6eeef63be5d7fe90ccb2e564fdd32454c2b7b1
fictional-race-020-pace_change,fictional-race-020,train,pace_change,misleading_hint,draft,584,1,1,False,evidence-editor-v2,9ddf42da8ef309d403d9ce565ad9e3239ef2db8e28d40df5c585c1d6a0384d83
fictional-race-021-position_gain,fictional-race-021,train,position_gain,missing,insufficient_evidence,480,1,0,False,evidence-editor-v2,6e443d0dee386e53ecbac6b6fc1523fad48eeda274d22015e37294dabdee8164
fictional-race-021-record_watch,fictional-race-021,train,record_watch,contradictory,insufficient_evidence,602,2,2,False,evidence-editor-v2,e6ba2064aead0164528f037923456a77dfe8915e1941d9fba052651aab6af78d
fictional-race-021-cutoff_watch,fictional-race-021,train,cutoff_watch,misleading_hint,draft,571,1,1,False,evidence-editor-v2,cebbc937fb0f514dfc596ad32fffd3e95382c15e449e7ad1a08e955a017f83a9
fictional-race-021-pace_change,fictional-race-021,train,pace_change,boundary,draft,563,1,1,False,evidence-editor-v2,48b2e42afd72a53c3f2fcfe039848abb83e3adcfe751f26cb2d368d89a0df21f
fictional-race-022-position_gain,fictional-race-022,train,position_gain,contradictory,insufficient_evidence,596,2,2,False,evidence-editor-v2,d5ef9020977bab60335bd3acdaa3ded721dadf1362c967c14813a13ab191ca48
fictional-race-022-record_watch,fictional-race-022,train,record_watch,misleading_hint,draft,576,1,1,False,evidence-editor-v2,2d4fa869032653d19b1ff8c168ddd0096a333c3e31a54b1ca1902a8b8871efe9
fictional-race-022-cutoff_watch,fictional-race-022,train,cutoff_watch,boundary,draft,549,1,1,False,evidence-editor-v2,818f03e5b64f20e797b27c4b1cde79f42e07ab3fc0f3f307e6efc8d23bef810d
fictional-race-022-pace_change,fictional-race-022,train,pace_change,complete,draft,579,1,1,False,evidence-editor-v2,7927b29a7c713da655f184e557459eedc922c11ba9b85976b684def1a06325a0
fictional-race-023-position_gain,fictional-race-023,train,position_gain,misleading_hint,draft,544,1,1,False,evidence-editor-v2,3a3c7ef9c0113672a0d5dc85bc288aee5a941f44d7f3f7beb237fc7327a5ae37
fictional-race-023-record_watch,fictional-race-023,train,record_watch,boundary,draft,560,1,1,False,evidence-editor-v2,eb8f9ce9a1da68e993f9006ea2aac4682509a253350cbd50b724d132a00808a0
fictional-race-023-cutoff_watch,fictional-race-023,train,cutoff_watch,complete,draft,567,1,1,False,evidence-editor-v2,bb698364b16fa6d5894948295cbfb57850a9b52bd2dbc7b1b89205c98c5c7673
fictional-race-023-pace_change,fictional-race-023,train,pace_change,missing,insufficient_evidence,486,1,0,False,evidence-editor-v2,0558f108f7d3de4d84e9a1dc5165bece9b848a895abff3aefdaa06a555ce338e
fictional-race-024-position_gain,fictional-race-024,train,position_gain,boundary,draft,528,1,1,False,evidence-editor-v2,d7efb494ead77cbfb56ee22ea44fe77f8d2654f0fe7340dd7b3529afdde930d0
fictional-race-024-record_watch,fictional-race-024,train,record_watch,complete,draft,569,1,1,False,evidence-editor-v2,072bddf9a298293ebccf70c0c7c5ceeda87e7f0ba5c4f69e8d9b1580ead4e42b
fictional-race-024-cutoff_watch,fictional-race-024,train,cutoff_watch,missing,insufficient_evidence,481,1,0,False,evidence-editor-v2,46eba47552110fcc0f2794ae5b3eee9589150892726789aafb7c2b950c1082ac
fictional-race-024-pace_change,fictional-race-024,train,pace_change,contradictory,insufficient_evidence,612,2,2,False,evidence-editor-v2,e560f6bb8da5224d418efd1ae6bed96e09b01639c94e4bc3d66ac2fa7cd5f756
fictional-race-025-position_gain,fictional-race-025,train,position_gain,complete,draft,540,1,1,False,evidence-editor-v2,32fd206ca1288951bfccf92f032b4fd2b91174c55e2a52eb5f8b1b5b8cb34b58
fictional-race-025-record_watch,fictional-race-025,train,record_watch,missing,insufficient_evidence,479,1,0,False,evidence-editor-v2,12602309f7f58eab41bf5d8a321cdee3d10982c95ded4dfa3629ad6808f6a0bc
fictional-race-025-cutoff_watch,fictional-race-025,train,cutoff_watch,contradictory,insufficient_evidence,604,2,2,False,evidence-editor-v2,2dca8bdaca831a2c87b4de04f7ff05bf35f83b08f5950fbda62fd2122f789860
fictional-race-025-pace_change,fictional-race-025,train,pace_change,misleading_hint,draft,580,1,1,False,evidence-editor-v2,21e5e0e40fa94a0bf24ec552fbdff116aa393c52ff3e3a46471fe810f387d3fa
fictional-race-026-position_gain,fictional-race-026,train,position_gain,missing,insufficient_evidence,484,1,0,False,evidence-editor-v2,478a34467119ad89959d92ae14d9644de511825f856c0ac37b503155ee53d3b7
fictional-race-026-record_watch,fictional-race-026,train,record_watch,contradictory,insufficient_evidence,602,2,2,False,evidence-editor-v2,6a864fd4f0bb1db8e60cac6d93ff89c86c0143a3ff238d67b9f2ec452b44cea7
fictional-race-026-cutoff_watch,fictional-race-026,train,cutoff_watch,misleading_hint,draft,565,1,1,False,evidence-editor-v2,720ad5e63997e4d94cdca47fd2cb13f76595ac2f23568e2dfed1f1b7ae01ef33
fictional-race-026-pace_change,fictional-race-026,train,pace_change,boundary,draft,567,1,1,False,evidence-editor-v2,f2b16cfcf4ff3021333ec06d90e37055ef2cd6579e4dd2e8dbf1677346a522bf
fictional-race-027-position_gain,fictional-race-027,train,position_gain,contradictory,insufficient_evidence,588,2,2,False,evidence-editor-v2,fccfe7444891e6e98746bba633afcb6eeab407d828e7533038bca5e09eb51bae
fictional-race-027-record_watch,fictional-race-027,train,record_watch,misleading_hint,draft,579,1,1,False,evidence-editor-v2,ed7a5ee4b603b08a9af23af14411caf094e279c5935c9f2deedaad131092536a
fictional-race-027-cutoff_watch,fictional-race-027,train,cutoff_watch,boundary,draft,545,1,1,False,evidence-editor-v2,b4a9625646e5072fca1681275cdd4a3505a3a304c8412358f5291fd26cf5e840
fictional-race-027-pace_change,fictional-race-027,train,pace_change,complete,draft,575,1,1,False,evidence-editor-v2,cab25a6af15766c8dc2c1dfc31fbe434e180808d1179356e8a5ddccc544ca0b3
fictional-race-028-position_gain,fictional-race-028,train,position_gain,misleading_hint,draft,550,1,1,False,evidence-editor-v2,dfd7531c96b4907f8e15c8f15565256cc429d32183adf43424c3fe1e8b01b073
fictional-race-028-record_watch,fictional-race-028,train,record_watch,boundary,draft,560,1,1,False,evidence-editor-v2,2327de5c0e228d1bf97732493e06639a351f7cb9108f691da1bf63a696960fe2
fictional-race-028-cutoff_watch,fictional-race-028,train,cutoff_watch,complete,draft,561,1,1,False,evidence-editor-v2,e79d22bd16c4d597a2ce59324d99c1bfeae6146025d3319ff3d494cbfbf65907
fictional-race-028-pace_change,fictional-race-028,train,pace_change,missing,insufficient_evidence,484,1,0,False,evidence-editor-v2,7ba84e78433adaaa24167687504991c8a6f8854bf630f8766e0e2061e7741443
fictional-race-029-position_gain,fictional-race-029,train,position_gain,boundary,draft,534,1,1,False,evidence-editor-v2,31ccfbd34dacb0b943f2c6b88e2062bfc07acdaa899c4cf4095f013b9828406c
fictional-race-029-record_watch,fictional-race-029,train,record_watch,complete,draft,581,1,1,False,evidence-editor-v2,8c029476dce79a36f1f93c584112913bce4e3b206c1ed044107f7f41cb34dff3
fictional-race-029-cutoff_watch,fictional-race-029,train,cutoff_watch,missing,insufficient_evidence,487,1,0,False,evidence-editor-v2,a7021b7c8df0e92bef675256965b160f7856b4befbc3331a8f141d5a86fd5cd9
fictional-race-029-pace_change,fictional-race-029,train,pace_change,contradictory,insufficient_evidence,618,2,2,False,evidence-editor-v2,cbde24126f24f721e19b92bd4df53c05c6d17dc3fc04f57e9784e22348bcd344
fictional-race-030-position_gain,fictional-race-030,train,position_gain,complete,draft,536,1,1,False,evidence-editor-v2,34bf6f8e3ba8e73d06d054f9d228153dc0ac8851ff6141ef02ca086d702fa83d
fictional-race-030-record_watch,fictional-race-030,train,record_watch,missing,insufficient_evidence,480,1,0,False,evidence-editor-v2,a843e38d874106019558d2dc2364af9f8e1ffd30bd535ecfd20a3361038a83ca
fictional-race-030-cutoff_watch,fictional-race-030,train,cutoff_watch,contradictory,insufficient_evidence,601,2,2,False,evidence-editor-v2,3a0767166815b944c6954457e4c53e46f3aa4c878fd05dd28fd3e3979e6ee3eb
fictional-race-030-pace_change,fictional-race-030,train,pace_change,misleading_hint,draft,580,1,1,False,evidence-editor-v2,576100695cef34e308a8289aafd2b2ac265c8b9e60fb96f6aeb62e3f21784608
fictional-race-031-position_gain,fictional-race-031,train,position_gain,missing,insufficient_evidence,482,1,0,False,evidence-editor-v2,a74ea88f8d23e2a0c89ef2b26f60ef7bf726d4fa912838ca85aaceda2b97d897
fictional-race-031-record_watch,fictional-race-031,train,record_watch,contradictory,insufficient_evidence,604,2,2,False,evidence-editor-v2,5caa7a215ab33f9f388630867b76518764b8db76c96b1af9b98d6c41daaa8c1b
fictional-race-031-cutoff_watch,fictional-race-031,train,cutoff_watch,misleading_hint,draft,563,1,1,False,evidence-editor-v2,f2c50227c51ed6eee37aa4f709860835e163328438ccf5c9d56d6c587e5a1151
fictional-race-031-pace_change,fictional-race-031,train,pace_change,boundary,draft,565,1,1,False,evidence-editor-v2,de71dbede3def23eff12588b34a6a18a5567d079506074ad496b1d8d8c2c41a2
fictional-race-032-position_gain,fictional-race-032,train,position_gain,contradictory,insufficient_evidence,596,2,2,False,evidence-editor-v2,997f60af4b478c2721a6d3b176a48832bdfdae02089823492c0ff153d5be4482
fictional-race-032-record_watch,fictional-race-032,train,record_watch,misleading_hint,draft,582,1,1,False,evidence-editor-v2,2f723398467d3a665b89806cfef76a5f9b9126ff3c3ab4529362c405bf6412c2
fictional-race-032-cutoff_watch,fictional-race-032,train,cutoff_watch,boundary,draft,549,1,1,False,evidence-editor-v2,3bbbab26086293c8d1bb63b775b6f2d265dc9142d02127972b5fca6d41b7035c
fictional-race-032-pace_change,fictional-race-032,train,pace_change,complete,draft,579,1,1,False,evidence-editor-v2,aa6d76b82c9958a582d1a2b78a391002812c91ac81b4b7f1cc3745dcb0985c99
fictional-race-033-position_gain,fictional-race-033,train,position_gain,misleading_hint,draft,550,1,1,False,evidence-editor-v2,6ef6ceb6e33394cfae15d0f0396431ac78826feb7bced1829e7471af18df25e1
fictional-race-033-record_watch,fictional-race-033,train,record_watch,boundary,draft,556,1,1,False,evidence-editor-v2,bc83aff7f80d4d4eee0df9b40df4bd1a04cc148f6c622958bc0efacef93ceccb
fictional-race-033-cutoff_watch,fictional-race-033,train,cutoff_watch,complete,draft,563,1,1,False,evidence-editor-v2,ba0d63ee9a7a0bf9c1bf6435efdbc3f0074c003f04b5a4c463d431245f625c48
fictional-race-033-pace_change,fictional-race-033,train,pace_change,missing,insufficient_evidence,482,1,0,False,evidence-editor-v2,1438d7f1498f62034373388515a97949810b179adf999bd12a85b9c277afd7c3
fictional-race-034-position_gain,fictional-race-034,train,position_gain,boundary,draft,532,1,1,False,evidence-editor-v2,c3eefb451ec84c6e8b8184bb010cced44e420d2ef0e0c22cce067829e4fa2470
fictional-race-034-record_watch,fictional-race-034,train,record_watch,complete,draft,570,1,1,False,evidence-editor-v2,c3bfa4a1c1e64a90bf093ea939f2f8f72897dfd01b6cb67c280bfb34f2ababa2
