id,group_id,signal,condition,schema_valid,citation_ids_valid,structured_claims_supported,required_metric_covered,disposition_correct,numeric_tokens_supported,sensitive_language_absent,projection_not_achievement,automatic_success,failed_checks
fictional-race-134-record_watch,fictional-race-134,record_watch,complete,1,1,1,1,1,0,1,1,0,automatic_success;numeric_tokens_supported
fictional-race-134-cutoff_watch,fictional-race-134,cutoff_watch,missing,1,1,1,1,1,1,1,1,1,
fictional-race-134-pace_change,fictional-race-134,pace_change,contradictory,1,1,1,1,0,1,1,1,0,automatic_success;disposition_correct
fictional-race-135-position_gain,fictional-race-135,position_gain,complete,1,1,1,1,1,1,1,1,1,
fictional-race-135-record_watch,fictional-race-135,record_watch,missing,1,1,1,1,1,1,1,1,1,
fictional-race-135-cutoff_watch,fictional-race-135,cutoff_watch,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-135-pace_change,fictional-race-135,pace_change,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-136-position_gain,fictional-race-136,position_gain,missing,1,1,1,1,1,1,1,1,1,
fictional-race-136-record_watch,fictional-race-136,record_watch,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-136-cutoff_watch,fictional-race-136,cutoff_watch,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-136-pace_change,fictional-race-136,pace_change,boundary,1,1,0,1,1,1,1,1,0,automatic_success;structured_claims_supported
fictional-race-137-position_gain,fictional-race-137,position_gain,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-137-record_watch,fictional-race-137,record_watch,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-137-cutoff_watch,fictional-race-137,cutoff_watch,boundary,1,1,0,1,1,0,1,1,0,automatic_success;numeric_tokens_supported;structured_claims_supported
fictional-race-137-pace_change,fictional-race-137,pace_change,complete,1,1,1,1,1,1,1,1,1,
fictional-race-138-position_gain,fictional-race-138,position_gain,misleading_hint,1,1,1,1,1,1,0,1,0,automatic_success;sensitive_language_absent
fictional-race-138-record_watch,fictional-race-138,record_watch,boundary,1,1,1,1,1,1,1,1,1,
fictional-race-138-cutoff_watch,fictional-race-138,cutoff_watch,complete,1,1,1,1,1,1,1,1,1,
fictional-race-138-pace_change,fictional-race-138,pace_change,missing,1,1,1,1,1,1,1,1,1,
fictional-race-139-position_gain,fictional-race-139,position_gain,boundary,1,1,1,1,1,1,1,1,1,
fictional-race-139-record_watch,fictional-race-139,record_watch,complete,1,1,1,1,1,0,1,1,0,automatic_success;numeric_tokens_supported
fictional-race-139-cutoff_watch,fictional-race-139,cutoff_watch,missing,1,1,1,1,1,1,1,1,1,
fictional-race-139-pace_change,fictional-race-139,pace_change,contradictory,1,1,1,1,1,0,1,1,0,automatic_success;numeric_tokens_supported
fictional-race-140-position_gain,fictional-race-140,position_gain,complete,1,1,1,1,1,1,1,1,1,
fictional-race-140-record_watch,fictional-race-140,record_watch,missing,1,1,1,1,1,1,1,1,1,
fictional-race-140-cutoff_watch,fictional-race-140,cutoff_watch,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-140-pace_change,fictional-race-140,pace_change,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-141-position_gain,fictional-race-141,position_gain,missing,1,1,1,1,1,1,1,1,1,
fictional-race-141-record_watch,fictional-race-141,record_watch,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-141-cutoff_watch,fictional-race-141,cutoff_watch,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-141-pace_change,fictional-race-141,pace_change,boundary,1,1,1,1,1,1,1,1,1,
fictional-race-142-position_gain,fictional-race-142,position_gain,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-142-record_watch,fictional-race-142,record_watch,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-142-cutoff_watch,fictional-race-142,cutoff_watch,boundary,1,1,0,1,1,1,1,1,0,automatic_success;structured_claims_supported
fictional-race-142-pace_change,fictional-race-142,pace_change,complete,1,1,1,1,1,1,1,1,1,
fictional-race-143-position_gain,fictional-race-143,position_gain,misleading_hint,1,1,0,1,1,1,0,1,0,automatic_success;sensitive_language_absent;structured_claims_supported
fictional-race-143-record_watch,fictional-race-143,record_watch,boundary,1,1,1,1,1,1,1,1,1,
fictional-race-143-cutoff_watch,fictional-race-143,cutoff_watch,complete,1,1,1,1,1,1,1,1,1,
fictional-race-143-pace_change,fictional-race-143,pace_change,missing,1,1,1,1,1,1,1,1,1,
fictional-race-144-position_gain,fictional-race-144,position_gain,boundary,1,1,0,1,1,0,1,1,0,automatic_success;numeric_tokens_supported;structured_claims_supported
fictional-race-144-record_watch,fictional-race-144,record_watch,complete,1,1,1,1,1,1,1,1,1,
fictional-race-144-cutoff_watch,fictional-race-144,cutoff_watch,missing,1,1,1,1,1,1,1,1,1,
fictional-race-144-pace_change,fictional-race-144,pace_change,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-145-position_gain,fictional-race-145,position_gain,complete,1,1,1,1,1,1,1,1,1,
fictional-race-145-record_watch,fictional-race-145,record_watch,missing,1,1,1,1,1,1,1,1,1,
fictional-race-145-cutoff_watch,fictional-race-145,cutoff_watch,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-145-pace_change,fictional-race-145,pace_change,misleading_hint,1,1,1,1,0,1,0,1,0,automatic_success;disposition_correct;sensitive_language_absent
fictional-race-146-position_gain,fictional-race-146,position_gain,missing,1,1,1,1,1,1,1,1,1,
fictional-race-146-record_watch,fictional-race-146,record_watch,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-146-cutoff_watch,fictional-race-146,cutoff_watch,misleading_hint,1,1,1,1,0,1,1,1,0,automatic_success;disposition_correct
fictional-race-146-pace_change,fictional-race-146,pace_change,boundary,1,1,0,1,1,0,1,1,0,automatic_success;numeric_tokens_supported;structured_claims_supported
fictional-race-147-position_gain,fictional-race-147,position_gain,contradictory,1,1,1,1,1,1,1,1,1,
fictional-race-147-record_watch,fictional-race-147,record_watch,misleading_hint,1,1,1,1,0,1,0,0,0,automatic_success;disposition_correct;projection_not_achievement;sensitive_language_absent
fictional-race-147-cutoff_watch,fictional-race-147,cutoff_watch,boundary,1,1,1,1,1,0,1,1,0,automatic_success;numeric_tokens_supported
fictional-race-147-pace_change,fictional-race-147,pace_change,complete,1,1,1,1,1,1,1,1,1,
fictional-race-148-position_gain,fictional-race-148,position_gain,misleading_hint,1,1,1,1,1,1,0,1,0,automatic_success;sensitive_language_absent
fictional-race-148-record_watch,fictional-race-148,record_watch,boundary,1,1,1,1,1,1,1,1,1,
fictional-race-148-cutoff_watch,fictional-race-148,cutoff_watch,complete,1,1,1,1,1,1,1,1,1,
fictional-race-148-pace_change,fictional-race-148,pace_change,missing,1,1,1,1,1,1,1,1,1,
fictional-race-149-position_gain,fictional-race-149,position_gain,boundary,1,1,1,1,1,0,1,1,0,automatic_success;numeric_tokens_supported
fictional-race-149-record_watch,fictional-race-149,record_watch,complete,1,1,1,1,1,1,1,1,1,
fictional-race-149-cutoff_watch,fictional-race-149,cutoff_watch,missing,1,1,1,1,1,1,1,1,1,
fictional-race-149-pace_change,fictional-race-149,pace_change,contradictory,1,1,1,1,1,1,1,1,1,
